id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4129119,Bungalow and BBQ,21420468,Christine,28804,35.6154,-82.5552,Private room,72,1,443,12/6/2020,5.77,1,80
4173713,The Suite at Bittersweet,20973612,Matthew,28804,35.65384,-82.54235,Entire home/apt,210,2,70,2/7/2021,0.97,2,272
4241484,Charming Cozy Home near Biltmore and Parkway,352405,Molly Rose,28803,35.54616,-82.51704,Entire home/apt,72,2,212,2/6/2021,2.81,2,146
4285157,Nana's Nest,637074,Johanna,28805,35.58668,-82.50199,Private room,54,2,30,12/11/2020,0.39,4,363
4304358,Nana's nest 3,637074,Johanna,28805,35.58668,-82.50199,Private room,58,2,48,1/2/2021,0.65,4,363
4394670,Sweet Suite,22813406,Beth,28804,35.63595,-82.53366,Entire home/apt,62,2,231,11/29/2020,3,1,165
4394761,"Bohemian Retreat: Clean, Deck, Near Downtown!",20447538,Danielle + April,28801,35.61244,-82.55724,Entire home/apt,80,1,230,2/2/2021,3.21,2,322
4448604,Private & Clean Mini Suite - 2 miles from downtown,5656896,Michael,28804,35.62273,-82.56215,Entire home/apt,38,2,363,1/15/2021,5.39,1,241
4515772,Views of Downtown and Mountains,17363326,Michael,28801,35.59191,-82.54488,Entire home/apt,200,30,72,12/14/2020,0.94,1,76
4527048,"The Bird House in Asheville, NC",21505164,Ellen,28803,35.57474,-82.54074,Entire home/apt,180,3,0,,,1,49
4583056,2BR; Walk Downtown! 30 day minimum,17167852,Jeff,28801,35.60619,-82.54947,Entire home/apt,219,21,18,8/31/2020,0.26,1,171
4587394,Urbane Retreat Cabin In town Asheville 90 DAYS,16339042,Lori & Lizzie,28805,35.58712,-82.49266,Entire home/apt,65,90,155,1/15/2021,2.06,1,163
4764715,West Asheville Green and Clean Getaway,3441402,Elizabeth,28806,35.57339,-82.5734,Entire home/apt,89,2,462,2/12/2021,6.19,2,157
4811980,Asheville Mountain Home ON RIVER! Rooms for Rent.,24783818,Andy,28805,35.60544,-82.46988,Private room,90,2,192,2/15/2021,2.65,1,328
4831087,Nanna's Nook,637074,Johanna,28805,35.58651,-82.50186,Entire home/apt,90,2,2,12/19/2016,0.03,4,0
4846733,"Chalet at Winghaven, Sunny Log Home",24938934,Jofre & Saskia,28732,35.4456,-82.46756,Entire home/apt,203,2,109,2/14/2021,1.54,2,225
4875054,River Arts Studio,14485502,Bob,28806,35.57923,-82.57162,Entire home/apt,95,2,119,1/31/2021,2.46,1,52
4895765,Beautiful Kenilworth Jewel,5035186,Lynn & Jake,28803,35.57424,-82.53288,Entire home/apt,95,2,508,2/14/2021,6.91,1,322
4994407,Amazing Asheville Location VIEWS!,25749896,Sydney,28805,35.62464,-82.52114,Entire home/apt,300,3,171,1/31/2021,2.31,1,316
5114762,Charming Bungalow in West Asheville,21362898,Susan,28806,35.58072,-82.59573,Entire home/apt,88,1,460,2/14/2021,6.26,1,20
5144212,Heart of downtown studio apt- No Cleaning Fees,6074062,Melissa,28801,35.59623,-82.55357,Entire home/apt,185,1,473,2/16/2021,6.52,5,336
5151226,Convenient to Everything! Private,4117051,Louise And Steve,28805,35.60858,-82.48867,Entire home/apt,289,3,98,1/18/2021,1.45,2,177
5213038,Strawbridge House,16596642,Barry,28801,35.60065,-82.55765,Entire home/apt,180,60,319,1/31/2021,4.36,2,262
5333015,"Griffin's Lair  Biltmore Village, NC 28803",27580922,Robert,28803,35.56642,-82.54681,Entire home/apt,250,2,84,10/31/2020,1.18,1,282
5336187,Parklike Setting,27654072,Suzy,28704,35.46994,-82.55996,Entire home/apt,49,30,1,7/1/2015,0.01,1,323
5405078,Log Cabin Apartment Close To Asheville,28018322,Susan,28803,35.54798,-82.49669,Entire home/apt,90,2,180,2/15/2021,3.38,1,329
5464591,Artsy/Zen Bungalow in W. Asheville!,28342264,Kristin,28806,35.5751,-82.59686,Entire home/apt,145,1,212,12/30/2020,2.94,1,295
5481195,"Asheville's Famous ""Pink House""",28424329,Tim,28804,35.61937,-82.55071,Private room,475,1,125,8/23/2020,1.76,1,49
5696919,Hidden getaway close to downtown!,29536562,Jessica,28805,35.58304,-82.53813,Entire home/apt,99,1,256,1/9/2021,3.59,1,215
5716399,The AshVilla- Prime West Asheville location,2392127,David And Melissa,28806,35.58265,-82.58182,Entire home/apt,121,1,180,10/11/2020,2.57,4,351
5839119,Sleeps 12! - Historic Montford -  Walk to town!,30315956,Brooke,28801,35.60193,-82.56342,Entire home/apt,520,3,93,2/7/2021,1.32,2,287
5851392,Charming  Montford Apartment ~Walk Downtown,5664205,Ellis,28801,35.59712,-82.57044,Entire home/apt,56,1,181,2/7/2021,2.53,1,46
5868695,Buried in Woods- Full of Art/ Style,21353533,Trip,28803,35.54909,-82.48628,Entire home/apt,214,4,124,1/5/2021,1.81,1,254
5917298,The Tarot House,30728739,Betsy,28801,35.60952,-82.55374,Private room,60,30,195,2/16/2020,2.73,2,181
5947797,Private Entrance/10 Min to DT AVL/Dog Friendly,30878733,Kyley,28715,35.54977,-82.63776,Private room,88,2,85,11/29/2020,1.51,1,364
6005112,Solar House in South Asheville,31174094,Walter,28803,35.49363,-82.51539,Private room,51,3,36,1/7/2021,1.32,2,16
